Time(sec)	Acceleration (g)	Speed	Position	Scaled position
4.0600	-0.26998	-0.076054	-0.022372	-74.566
4.0800	-0.053125	-0.079285	-0.023926	-79.745
4.1000	0.20508	-0.077766	-0.025496	-84.978
4.1200	0.38406	-0.071874	-0.026993	-89.968
4.1400	0.46999	-0.063334	-0.028345	-94.474
4.1600	0.63912	-0.052243	-0.029501	-98.327
4.1800	0.83979	-0.037454	-0.030397	-101.31
4.2000	0.84280	-0.020628	-0.030978	-103.25
4.2200	0.66635	-0.0055362	-0.031240	-104.12
4.2400	0.56741	0.0068014	-0.031227	-104.08
4.2600	0.55209	0.017997	-0.030979	-103.25
4.2800	0.48870	0.028405	-0.030515	-101.71
4.3000	0.41554	0.037447	-0.029857	-99.513
4.3200	0.37965	0.045399	-0.029028	-96.750
4.3400	0.28055	0.052001	-0.028054	-93.504
4.3600	0.0047430	0.054854	-0.026986	-89.944
4.3800	-0.23976	0.052504	-0.025912	-86.365
4.4000	-0.29443	0.047162	-0.024916	-83.045
4.4200	-0.21662	0.042051	-0.024023	-80.069
4.4400	-0.059622	0.039289	-0.023210	-77.359
4.4600	0.043763	0.039130	-0.022426	-74.746
4.4800	0.11757	0.040743	-0.021627	-72.083
4.5000	0.17136	0.043633	-0.020783	-69.270
4.5200	0.24151	0.047761	-0.019869	-66.223
4.5400	0.24263	0.052603	-0.018866	-62.880
4.5600	0.10192	0.056048	-0.017779	-59.257
4.5800	-0.016743	0.056900	-0.016650	-55.494
4.6000	-0.035824	0.056374	-0.015517	-51.718
4.6200	-0.029702	0.055719	-0.014396	-47.982
4.6400	-0.043947	0.054983	-0.013289	-44.292
4.6600	-0.088920	0.053654	-0.012203	-40.673
4.6800	-0.13652	0.051400	-0.011152	-37.170
4.7000	-0.16722	0.048362	-0.010155	-33.847
4.7200	-0.057511	0.046115	-0.0092098	-30.696
4.7400	0.11086	0.046648	-0.0082821	-27.604
4.7600	0.18398	0.049597	-0.0073197	-24.397
4.7800	0.19012	0.053338	-0.0062903	-20.966
4.8000	0.10131	0.056252	-0.0051944	-17.313
4.8200	0.038605	0.057651	-0.0040554	-13.517
4.8400	0.024272	0.058280	-0.0028961	-9.6527
4.8600	-0.033368	0.058189	-0.0017314	-5.7708
4.8800	-0.086691	0.056989	-0.00057962	-1.9319
4.9000	-0.10271	0.055095	0.00054122	1.8039
4.9200	-0.11648	0.052903	0.0016212	5.4035
4.9400	-0.14156	0.050322	0.0026534	8.8438
4.9600	-0.19408	0.046966	0.0036263	12.086
4.9800	-0.24790	0.042546	0.0045214	15.070
5.0000	-0.27426	0.037324	0.0053201	17.732
5.0200	-0.28214	0.031760	0.0060110	20.035
5.0400	-0.26923	0.026247	0.0065911	21.968
5.0600	-0.24390	0.021115	0.0070647	23.547
5.0800	-0.15062	0.017170	0.0074475	24.823
5.1000	-0.021127	0.015453	0.0077738	25.910
5.1200	0.039876	0.015640	0.0080847	26.946
5.1400	0.045727	0.016496	0.0084060	28.017
5.1600	0.023507	0.017189	0.0087429	29.140
5.1800	-0.018737	0.017236	0.0090871	30.287
5.2000	-0.072482	0.016324	0.0094227	31.406
5.2200	-0.10882	0.014511	0.0097311	32.434
5.2400	-0.15321	0.011891	0.0099951	33.314
5.2600	-0.17279	0.0086308	0.010200	33.997
5.2800	-0.19324	0.0049705	0.010336	34.450
5.3000	-0.17453	0.0012928	0.010399	34.660
5.3200	-0.078563	-0.0012381	0.010400	34.663
5.3400	-0.0059460	-0.0020832	0.010366	34.550
5.3600	0.026431	-0.0018784	0.010327	34.420
5.3800	0.036238	-0.0012517	0.010295	34.313
5.4000	0.057178	-0.00031751	0.010280	34.263
5.4200	0.13693	0.0016236	0.010293	34.307
5.4400	0.13389	0.0043318	0.010352	34.503
5.4600	0.034980	0.0060205	0.010456	34.850
5.4800	-0.012309	0.0062472	0.010579	35.260
5.5000	-0.035859	0.0057655	0.010699	35.660
5.5200	-0.072870	0.0046782	0.010803	36.006
5.5400	-0.14993	0.0024502	0.010874	36.243
5.5600	-0.11948	-0.00024389	0.010896	36.316
5.5800	-0.027964	-0.0017183	0.010877	36.253
5.6000	0.0018830	-0.0019791	0.010840	36.130
5.6200	-0.010114	-0.0020614	0.010799	35.993
5.6400	-0.072424	-0.0028868	0.010750	35.830
5.6600	-0.13255	-0.0049366	0.010672	35.570
5.6800	-0.16119	-0.0078740	0.010544	35.143
5.7000	-0.11442	-0.010630	0.010359	34.527
5.7200	-0.066946	-0.012444	0.010128	33.757
5.7400	-0.046693	-0.013580	0.0098676	32.889
5.7600	-0.0097980	-0.014145	0.0095903	31.964
5.7800	0.056840	-0.013675	0.0093121	31.037
5.8000	0.088673	-0.012219	0.0090532	30.174
5.8200	0.082418	-0.010509	0.0088259	29.417
5.8400	0.080894	-0.0088755	0.0086321	28.771
5.8600	0.085420	-0.0072123	0.0084712	28.235
5.8800	0.089728	-0.0054608	0.0083445	27.812
5.9000	0.048932	-0.0040742	0.0082491	27.494
